name,socket,form_factor,max_memory,memory_slots
Asus ROG CROSSHAIR X670E EXTREME,AM5,EATX,192,4
MSI A320M-A PRO MAX,AM4,Micro ATX,32,2
Gigabyte Z690 AORUS ELITE AX DDR4,LGA1700,ATX,128,4
Asus ROG Strix X570-I Gaming,AM4,Mini ITX,64,2
Gigabyte A520 AORUS ELITE,AM4,ATX,128,4
ASRock B650M PG RIPTIDE,AM5,Micro ATX,192,4
ASRock B760M PG Lightning Wifi,LGA1700,Micro ATX,192,4
Asus ROG STRIX Z690-F GAMING WIFI,LGA1700,ATX,192,4
ASRock Z790 PG LIGHTNING,LGA1700,ATX,192,4
Asus PRIME B660M-K D4,LGA1700,Micro ATX,64,2
Gigabyte B650 AORUS PRO AX,AM5,ATX,192,4
Asus H110M-K,LGA1151,Micro ATX,32,2
Gigabyte B760 DS3H AC,LGA1700,ATX,192,4
Gigabyte B760M AORUS ELITE X AX,LGA1700,Micro ATX,192,4
Asus PRIME Z690-P WIFI,LGA1700,ATX,192,4
Gigabyte B450 AORUS ELITE,AM4,ATX,64,4
ASRock A320M-HDV R4.0,AM4,Micro ATX,32,2
Asus ROG STRIX Z790-A GAMING WIFI,LGA1700,ATX,192,4
MSI MEG Z790 GODLIKE,LGA1700,EATX,192,4
MSI MPG Z790 CARBON MAX WIFI II,LGA1700,ATX,256,4
Asus PRIME B760M-A AX,LGA1700,Micro ATX,128,4
Asus TUF GAMING B450M-PLUS II,AM4,Micro ATX,128,4
Gigabyte B650 AERO G,AM5,ATX,192,4
ASRock B550M Phantom Gaming 4,AM4,Micro ATX,128,4
Gigabyte X570 AORUS ELITE,AM4,ATX,128,4
MSI MAG X570 TOMAHAWK WIFI,AM4,ATX,128,4
Asus ROG STRIX B660-A GAMING WIFI D4,LGA1700,ATX,128,4
Gigabyte B760M GAMING X AX DDR4,LGA1700,Micro ATX,128,4
ASRock B660M-ITX/ac,LGA1700,Mini ITX,64,2
Asus PRIME B760-PLUS D4,LGA1700,ATX,128,4
Asus PRIME X570-P,AM4,ATX,128,4
MSI MAG B550M MORTAR WIFI,AM4,Micro ATX,128,4
Gigabyte Z790 AERO G,LGA1700,ATX,192,4
MSI PRO B760-P DDR4 II,LGA1700,ATX,128,4
Asus TUF GAMING Z690-PLUS WIFI D4,LGA1700,ATX,128,4
ASRock B760 Pro RS WiFi,LGA1700,ATX,192,4
Gigabyte B650M GAMING WIFI,AM5,Micro ATX,96,2
ASRock X570 Steel Legend,AM4,ATX,128,4
Asus TUF GAMING X570-PLUS,AM4,ATX,128,4
MSI MPG B550 GAMING EDGE WIFI,AM4,ATX,128,4
Gigabyte B650M GAMING PLUS WF,AM5,Micro ATX,192,4
MSI B560M PRO-E,LGA1200,Micro ATX,64,2
Asus ROG Strix X570-E Gaming,AM4,ATX,128,4
ASRock A320M-DVS R4.0,AM4,Micro ATX,32,2
Gigabyte H410M S2H V2,LGA1200,Micro ATX,64,2
Asus TUF GAMING B660M-PLUS WIFI,LGA1700,Micro ATX,192,4
Gigabyte H610M K DDR4,LGA1700,Micro ATX,64,2
Gigabyte B560M DS3H AC,LGA1200,Micro ATX,128,4
ASRock B650M PG Lightning,AM5,Micro ATX,192,4
MSI B350 TOMAHAWK ARCTIC,AM4,ATX,64,4
MSI Z370-A PRO,LGA1151,ATX,64,4
Gigabyte B365M DS3H,LGA1151,Micro ATX,64,4
